,Timestamp,Gender,Height,Weight,CGPA,PL,Sim_Course,Focus,DS_DA,bday,age,PL_rating,BMI
105,8/7/2017 11:59:15,Female,149.0,52.0,6.3,C,No,Data,May be,March,19,3,23.422368361785505
106,8/7/2017 11:59:24,Female,153.0,50.0,8.21,C,No,Data,May be,Nov,18,3,21.35930624973301
107,8/7/2017 11:59:25,Female,170.0,47.0,6.92,C,No,Science,May be,Aug,20,4,16.262975778546714
108,8/7/2017 11:59:30,Male,175.0,69.0,7.8,Java,Yes,Science,May be,Jan,19,3,22.53061224489796
109,8/7/2017 11:59:33,Male,170.0,55.0,8.77,Java,No,Data,No,July,19,3,19.031141868512112
110,8/7/2017 11:59:41,Female,158.0,59.0,8.54,C,No,Data,Yes,March,19,2,23.634033007530842
111,8/7/2017 11:59:42,Female,167.64,54.0,5.0,C,No,Data,May be,Aug,18,2,19.214914462886778
112,8/7/2017 12:00:29,Male,179.0,65.0,9.23,C,No,Data,No,Dec,18,4,20.286507911738084
113,8/7/2017 12:00:30,Male,182.0,58.0,9.83,C,No,Science,No,March,19,2,17.509962564907617
114,8/7/2017 12:00:36,Male,179.0,85.0,7.0,C,No,Data,No,May,19,3,26.528510346119035
115,8/7/2017 12:08:07,Female,170.0,50.0,10.0,Python,Yes,Science,May be,Dec,21,5,17.301038062283737
116,8/7/2017 12:08:31,Female,180.0,120.0,9.0,Python,Yes,Data,May be,March,21,5,37.03703703703704
117,8/7/2017 12:08:38,Male,160.0,57.0,8.0,C,No,Data,May be,Sep,19,3,22.265624999999996
118,8/7/2017 12:08:41,Male,166.0,61.0,8.0,Python,No,Science,May be,Jan,19,3,22.136739730004358
119,8/7/2017 12:08:46,Male,168.0,75.0,7.54,C,No,Science,May be,Nov,18,3,26.573129251700685
120,8/7/2017 12:09:08,Male,175.0,55.0,8.2,C,No,Data,May be,April,19,3,17.959183673469386
121,8/7/2017 12:09:17,Female,170.0,75.0,7.0,Python,No,Science,May be,May,18,3,25.95155709342561
122,8/7/2017 12:09:51,Male,170.0,55.0,8.77,Java,No,Science,May be,July,19,3,19.031141868512112
123,8/7/2017 12:11:53,Male,170.0,62.15,8.0,C,No,Science,May be,Aug,18,3,21.505190311418687
